date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2015-03-01,3229.3,5.14,751.16,1570.53,1344.82,749.93,804.55,20.52,208.08,3.3,41.09,18.15,61.26,1900.0,2.84,9.18,0.92,0.0
2015-02-01,3419.1,5.58,762.51,1677.34,1344.82,762.61,825.0,20.57,199.3,3.1,36.09,0.0,60.88,1985.0,2.53,8.66,0.0,0.0
2015-01-01,2677.8,5.95,777.72,1712.65,1350.33,796.58,870.71,20.01,168.44,3.7,38.78,0.0,65.54,2143.18,15.73,42.11,0.0,0.0
2014-12-01,3294.6,6.15,814.81,1795.13,1372.88,814.55,900.95,20.24,178.17,2.95,39.36,0.0,66.0,2291.3,5.2,17.13,0.0,0.0
2014-11-01,2586.8,5.75,841.33,1806.34,1388.91,825.98,922.75,20.3,133.13,2.8,36.85,0.0,56.64,2095.0,12.82,33.16,0.0,0.0
2014-10-01,3114.1,5.37,859.11,1696.44,1388.91,833.03,888.26,19.95,126.06,2.9,35.47,0.0,54.26,1853.91,3.99,12.41,0.0,0.0
2014-09-01,2316.0,5.49,836.46,1678.85,1388.91,839.82,834.09,19.6,88.39,3.31,29.28,1.23,40.2,1721.36,10.03,23.23,0.06,0.0
2014-08-01,2318.2,5.93,851.75,1729.32,1388.91,861.77,853.75,18.84,78.01,3.4,31.4,20.31,44.77,1796.19,22.29,51.66,1.12,0.0
2014-07-01,2530.3,6.39,892.08,1734.13,1373.38,897.43,908.04,18.32,80.11,3.5,34.51,400.28,95.6,1800.0,7.99,20.22,22.51,0.0
2014-06-01,2093.5,6.19,948.33,1720.67,1366.87,925.82,942.38,19.43,92.19,3.7,30.87,590.88,120.33,1775.24,20.69,43.31,34.54,0.0
